ID,Flag_Cliente,Edad,Genero,Flag_Upgrade,MOB,DiasMora_201501,DiasMora_201502,DiasMora_201503,DiasMora_201504,DiasMora_201505,DiasMora_201506,NroPagosMensuales_u6m,FlagRefRCC_u12m,ClasRCC_u12m,NroEntRCC_TC,DeudaTC,LineaTC,NroTransacciones_PagaLaMitad_u12m,NroTransacciones_DispEfectivo_u12m,SaldoTotal_maximo_u12m
285034,0,49,1,0,100,0,6,36,6,6,36,1,1,2,5,293.83,5700,0,0,1169.84
285119,1,34,0,1,99.9333333333333,0,0,0,0,0,0,5,1,0,1,1859.19,1600,5,21,1913.99
285951,1,43,0,1,99.5,0,0,0,0,0,0,5,1,0,1,29867.56,30050,0,13,34873
286263,0,35,1,1,99.3333333333333,0,1,0,1,1,31,3,1,0,2,1615.77,1800,0,0,1615.77
286575,0,37,1,0,99.1666666666667,0,6,5,0,6,36,2,1,2,4,4970.43,7400,0,0,5050.35
286605,1,31,1,0,99.1,0,0,0,6,6,0,5,1,0,1,113.91,4750,0,0,812.83
286895,1,56,1,1,99,0,0,0,0,0,0,4,1,0,1,480.11,3500,0,2,835.33
286901,1,43,1,1,99,0,0,0,0,0,0,5,1,0,1,1003.66,31000,0,0,1840.66
286995,1,52,0,1,98.9,0,1,0,0,1,0,2,1,0,4,1155.07,2000,0,0,1155.07
286999,0,30,1,0,98.9,31,1,0,1,32,0,1,1,2,5,1537,2000,1,0,1563.38
287277,0,36,0,1,98.8,0,1,0,1,1,0,2,0,1,5,1537.21,2300,1,0,1828.49
287639,0,36,1,0,98.6333333333333,56,26,0,0,0,25,0,1,4,5,735.76,700,0,0,764.82
287769,0,33,0,0,98.5333333333333,0,1,0,1,1,0,4,1,1,1,1258.42,1350,0,2,1353.27
287926,0,30,0,0,98.5,51,21,0,21,52,51,1,1,3,5,1406.08,2000,0,0,1841.28
287942,1,32,1,0,98.5,0,0,0,0,0,0,4,1,0,2,116.89,8300,0,0,854.15
288001,1,43,1,0,98.4666666666667,0,0,0,0,0,0,5,1,0,1,1617.29,9000,0,1,2209.35
288249,1,33,0,0,98.4,0,0,0,0,16,0,3,1,0,3,283.41,450,0,0,377.78
288926,1,47,0,0,98,0,0,0,0,0,0,6,1,0,1,595.94,15500,0,0,595.94
289193,0,50,0,1,97.8333333333333,0,1,0,1,1,31,2,1,2,5,614.75,2000,0,0,681.64
289558,0,34,0,0,97.4666666666667,0,0,0,0,21,0,2,1,1,4,457.02,600,0,0,608.51
289771,0,35,0,0,97.2333333333333,0,0,0,1,32,31,2,1,2,5,10281.59,13590,1,15,16318.1
290019,1,36,0,0,96.9,0,1,0,1,1,0,5,1,1,1,3952.1,4800,6,14,4735.35
290469,0,41,1,1,96.2666666666667,0,0,0,16,0,0,5,1,0,1,6649.99,19300,0,6,6649.99
290478,1,58,1,0,96.2666666666667,0,0,0,0,0,0,5,1,0,1,121.69,4350,0,0,1298.94
290649,0,51,0,1,96.0666666666667,10,0,0,0,0,0,4,1,0,1,24.2,1600,0,0,816.85
290827,1,42,1,0,95.9333333333333,0,0,0,6,0,5,5,1,0,1,110.9,1600,0,0,359.45
291029,1,37,0,0,95.7,0,0,0,0,0,0,3,1,0,3,107.45,1100,3,0,372
291116,1,34,1,0,95.5666666666667,0,0,0,0,0,0,2,1,0,3,495.9,2000,0,1,1059.7
291224,1,50,0,1,95.5,0,0,0,0,0,0,3,1,0,2,9474.55,10000,1,3,10174.38
291411,1,49,0,1,95.3,0,0,0,0,0,0,5,1,0,1,8382.48,8800,0,0,10303.23
291487,0,34,0,0,25.7666666666667,0,1,0,1,1,0,2,1,0,5,649.04,1250,0,0,1521.43
291770,0,63,1,1,95.0666666666667,0,0,0,1,1,31,2,1,0,4,264.33,700,0,0,633.03
291800,0,39,0,0,25.7333333333333,0,1,31,1,1,31,3,1,2,3,1305.95,1290,4,3,1453.91
291884,0,31,1,0,25.7333333333333,0,0,0,0,1,0,5,1,0,1,498.6,500,0,2,558.14
291895,1,27,1,0,25.7333333333333,0,0,0,0,0,0,2,1,0,3,246.55,700,0,0,1133.2
291914,1,50,1,1,95.0333333333333,0,0,0,0,0,0,5,1,0,1,967.43,4600,0,2,967.43
291928,0,27,0,0,25.7333333333333,0,1,0,1,1,31,2,1,0,4,158.9,300,3,4,331.09
291964,0,36,0,0,25.7333333333333,0,1,31,1,1,31,2,1,2,5,1381.06,2560,0,5,2366.94
291968,0,23,1,0,25.7333333333333,31,0,0,1,0,0,2,0,1,4,417.03,400,3,0,437.03
292030,1,22,1,0,25.7333333333333,0,1,0,0,0,0,5,1,0,1,586.86,1120,11,0,1408.59
292075,1,53,1,0,25.7333333333333,0,0,0,26,0,0,2,1,1,5,25.44,1090,3,0,1594.72
292174,0,31,0,1,25.7333333333333,0,0,10,0,0,0,3,1,4,3,400.09,500,0,0,544.91
292373,1,21,0,0,25.7333333333333,0,0,0,0,0,0,5,1,0,1,25.56,1100,0,0,1306.76
292432,0,23,1,0,25.7333333333333,0,1,0,1,1,0,4,1,0,3,412.78,1200,0,1,1287.85
292585,0,41,0,1,25.7333333333333,0,0,0,1,1,31,4,1,0,1,844.37,900,3,13,1002.23
292669,1,30,0,0,94.7333333333333,0,1,0,0,0,0,5,1,0,1,4383.97,15000,0,0,5284.48
292692,0,34,0,0,94.7333333333333,0,0,0,0,1,0,3,1,1,1,1163.3,1000,0,0,1163.3
292732,0,39,1,0,25.7,0,1,31,31,32,31,2,1,2,5,596.32,1350,0,1,1253.89
292735,0,42,1,1,94.7333333333333,0,1,31,31,32,0,1,1,0,5,437.26,500,0,0,525.39
292742,0,34,0,0,25.7,0,0,0,26,0,0,3,1,0,2,1834.86,3650,0,3,2522.72
292774,0,55,0,1,25.7,0,0,25,0,0,0,3,1,0,2,1149.81,1900,0,1,1149.81
293285,1,39,1,0,94.3666666666667,0,0,0,0,0,0,5,1,4,1,2407.93,3000,0,6,3101.53
293446,0,67,1,1,94.1666666666667,0,0,0,11,11,10,2,1,1,3,899.13,900,0,0,948.64
293665,0,29,1,0,93.7333333333333,0,0,0,1,0,0,5,1,0,1,617.98,576,7,14,617.98
293811,0,48,0,1,93.4333333333333,0,0,0,0,0,20,4,1,1,1,126.6,6300,0,4,1409.51
293935,0,22,1,0,25.7,0,26,0,0,26,0,2,1,1,5,115.22,300,0,0,359.16
293945,1,26,1,0,25.7,0,1,0,0,0,0,5,1,0,1,375.28,2920,0,0,375.28
293986,1,45,1,1,25.7,0,0,0,0,0,0,3,1,0,2,206.6,800,0,0,782.81
294150,1,46,0,1,25.7,0,0,0,0,0,0,6,1,0,1,390.98,5700,1,0,1086.78
294203,0,33,0,0,25.7,0,0,25,26,0,25,2,1,0,5,782.05,720,1,0,837.41
294231,1,58,1,1,25.7,0,6,0,0,0,5,4,1,0,1,333.09,300,6,0,346.11
294329,0,24,1,0,28.6333333333333,51,51,51,82,0,0,0,0,1,5,604.79,1050,0,0,1570.38
294422,0,26,0,0,28.6333333333333,0,21,0,0,0,20,1,1,1,4,2761.71,6750,0,0,4007.96
294429,1,33,1,1,28.6333333333333,0,0,0,0,0,0,4,1,0,2,1206.07,2700,1,0,1663.17
294488,1,47,1,0,28.6333333333333,0,26,0,0,0,0,2,1,0,3,2331.98,3910,0,4,4240.76
294820,0,48,0,0,92.6666666666667,0,1,0,1,1,0,3,1,1,4,241.93,500,0,0,528.9
295026,1,26,1,0,25.6666666666667,0,0,0,0,0,25,4,1,1,1,1620.26,2000,0,0,1895.84
295113,0,33,0,1,92.4,5,6,0,0,6,5,4,1,0,2,1357.47,1300,10,10,1412.09
295126,1,52,0,0,92.4,0,0,0,0,0,0,5,1,0,1,954.05,5000,0,0,1267.71
295127,0,50,0,0,25.6666666666667,0,0,25,56,26,0,1,0,4,5,684.31,650,0,0,707.45
295192,1,51,0,1,92.3,0,0,0,0,0,0,5,1,0,1,939.28,5400,0,0,2454.2
295645,1,31,1,0,91.7333333333333,0,1,0,0,0,0,5,1,1,1,353.15,1700,0,0,629.3
295678,1,55,0,1,91.6666666666667,0,0,0,0,0,0,2,0,1,5,1998.2,2800,2,0,3359.11
295804,0,27,0,0,25.6666666666667,0,0,0,0,26,0,2,1,0,3,714.25,1400,0,0,831.84
295973,0,52,1,0,91.3333333333333,0,0,0,0,0,0,5,1,0,1,1310.36,1200,8,1,1310.36
296064,1,46,0,1,91.1333333333333,10,11,0,0,0,0,3,1,0,2,569.53,900,2,4,644.54
296177,1,28,1,0,91,0,0,0,0,0,0,5,1,0,1,60.16,9000,0,0,936.92
296235,1,51,1,1,90.9,0,0,0,0,0,0,5,1,5,1,5388.72,14000,0,0,5388.72
296339,0,39,0,0,90.7666666666667,0,1,0,1,32,31,2,1,1,4,281.08,2350,0,0,396.61
296456,1,34,1,0,90.6,0,0,0,0,0,0,4,1,0,1,2089.13,16500,0,0,3506.1
296523,0,39,1,0,25.6333333333333,56,56,0,0,0,0,1,0,1,5,1174.31,1260,0,2,1443
296638,1,63,1,1,90.4333333333333,0,0,0,0,0,0,6,1,0,1,2224.04,3500,0,13,2751.06
296781,1,49,1,1,90.3,0,0,0,0,0,0,5,1,0,1,3010.81,11800,0,2,3605.65
296791,1,41,0,1,90.2666666666667,0,0,0,0,0,0,5,1,0,1,642.11,12500,0,0,1399.85
296971,1,39,0,0,90.1666666666667,10,11,10,0,0,10,4,1,1,2,237.81,2000,0,0,1080.53
296992,1,41,0,1,90.1666666666667,0,0,0,0,0,0,5,1,0,1,1655.32,3780,0,2,3421.5
297413,1,28,0,0,25.6333333333333,0,0,25,0,0,25,3,1,4,3,332.2,600,0,0,405.96
297518,0,29,0,0,89.8666666666667,0,0,5,0,0,0,4,1,2,3,4490.01,5050,0,15,5811.31
297842,1,68,1,0,89.6333333333333,0,0,0,0,0,0,4,1,0,1,4243.8,8250,0,0,4953.98
297917,1,36,0,0,89.6,0,0,0,0,0,0,6,1,0,1,126.89,700,0,0,126.89
297986,1,28,1,1,25.6333333333333,0,0,0,0,0,0,4,1,0,1,231.16,1200,1,4,534.73
298099,1,58,0,1,89.4,0,0,0,0,0,0,5,1,0,1,15249.17,23100,0,6,17499.09
298101,1,55,1,1,89.4,0,0,0,0,0,0,5,1,0,1,17393.05,16800,0,2,23704.49
298140,1,28,0,1,89.3,0,0,0,0,0,0,4,1,0,1,3426.99,4000,1,1,4468.51
298217,0,35,0,0,89.2666666666667,46,0,0,16,47,15,1,1,1,5,264.87,800,0,0,853.67
298363,1,34,0,1,89.2333333333333,0,0,0,0,0,15,4,1,0,1,1313.95,6950,0,0,1313.95
298404,1,45,0,0,89.2,15,46,15,0,0,15,1,1,0,5,388.45,600,0,0,495.89
298449,0,32,0,0,89.1666666666667,46,0,0,0,0,0,0,1,4,5,787.73,1400,0,0,1119.87
298539,0,34,1,1,89.0666666666667,0,1,0,1,1,0,5,1,0,1,23.67,8950,0,0,7898.14
298691,1,63,0,1,88.9666666666667,0,0,0,0,0,0,5,1,0,1,1127.91,1450,0,12,1237.34
298819,0,65,1,1,88.8333333333333,0,0,0,0,0,5,5,1,1,1,1696.57,1900,6,0,1834.24
298923,0,69,1,1,88.8,31,31,0,0,0,0,2,0,0,5,1018.14,1000,1,0,1018.14
298927,1,44,1,1,88.8,0,0,0,0,0,0,6,1,0,1,2345.52,5900,0,1,4082.21
298938,1,32,0,0,88.8,0,0,0,1,1,0,2,1,0,2,81.88,1000,0,0,707.13
298984,0,62,0,1,88.7333333333333,0,0,0,1,32,0,3,1,4,3,2536.28,2700,1,8,2743.34
299042,1,54,1,1,88.7,0,1,0,0,1,0,5,1,0,1,6441.95,10300,0,0,11918.51
299395,0,30,0,0,28.6,0,21,51,0,0,0,1,1,1,5,266.68,1125,1,0,1846.88
299447,1,64,1,1,28.6,0,0,0,0,0,0,6,1,2,1,720.92,900,0,2,800.61
299454,0,63,0,0,28.6,0,0,0,0,0,20,4,1,1,1,811.84,750,1,8,811.84
299674,0,35,1,0,28.6,79,51,0,21,52,0,0,0,1,5,378.2,500,0,0,474.82
299695,0,48,1,1,28.6,0,0,0,0,0,0,2,1,0,4,90.27,550,0,1,567.09
300290,0,46,1,0,137.066666666667,0,0,0,0,0,15,4,1,0,1,29530.94,27000,2,3,31867.51
300349,1,65,1,1,137.166666666667,0,0,0,0,0,0,6,1,0,1,461.6,40000,0,3,1586.52
300434,1,55,0,1,136.8,0,0,0,0,0,0,6,1,0,1,526.74,35900,0,3,526.74
300541,1,45,0,1,136.766666666667,5,6,5,6,37,0,2,1,5,5,42.45,2900,0,0,1878.3
300557,0,41,0,1,136.6,0,0,0,6,0,5,4,1,2,1,26802.3,26050,3,7,32942.04
300627,0,38,0,0,136.533333333333,64,67,0,6,6,0,0,0,4,5,1816.26,2200,3,0,2161.48
300682,0,40,0,0,136.5,0,31,61,0,1,31,1,0,2,5,1249.16,5200,0,2,1584.69
300734,0,41,0,0,136.466666666667,61,1,31,1,1,0,0,1,0,5,412.89,5700,0,0,1548.97
301128,1,51,1,1,136.1,0,0,0,0,0,0,4,1,4,1,1363.89,2150,1,1,2394.39
301163,1,39,1,0,135.866666666667,0,0,0,0,0,0,3,1,0,2,8714.43,28000,7,12,12756.34
301418,1,41,1,0,135.333333333333,0,0,0,0,0,0,6,1,0,1,314.49,35000,0,0,2675.35
301746,1,41,0,0,134.966666666667,0,16,15,16,0,0,2,1,4,5,4200.73,6700,0,0,5976.24
301916,1,65,0,1,134.833333333333,0,0,0,0,0,0,5,1,0,1,2112.15,38000,0,0,4377.43
301948,1,46,1,0,134.8,0,16,15,0,0,15,2,1,1,3,4824.38,4200,0,0,4824.38
302020,1,45,1,1,134.733333333333,0,0,0,0,0,0,5,1,0,1,142.24,3000,0,0,1108.05
302222,1,61,1,1,134.6,5,0,0,0,0,0,5,1,0,1,1969.03,30500,0,6,2094.3
302230,1,57,0,1,134.6,0,0,0,0,0,0,5,1,0,1,6282.13,38500,0,0,6689.26
302361,1,58,0,1,134.666666666667,0,0,0,0,0,0,6,1,0,1,182.32,35800,0,2,1892.98
302448,1,43,1,0,134.4,0,0,0,0,0,0,4,1,0,1,1474.65,11400,0,0,2650.7
302548,1,45,0,1,134.333333333333,0,1,0,31,1,0,2,1,0,5,2285.23,5950,0,0,5790.88
303322,0,50,0,1,133.5,0,26,56,0,0,25,1,1,2,5,544.04,340,0,0,636.83
303347,0,38,1,0,133.5,0,0,5,6,37,36,2,1,0,5,797.07,2600,0,0,1545.16
303354,1,57,0,1,133.5,0,0,0,0,0,0,3,1,0,1,3391.88,3800,0,3,3650.26
303494,1,50,0,1,133.4,0,0,0,0,0,0,6,1,0,1,186.32,13000,0,0,315.31
303545,0,43,1,0,133.366666666667,0,1,0,1,1,31,2,1,2,5,2923.73,3000,0,0,2999.87
303944,1,65,0,1,132.966666666667,0,0,0,0,0,0,5,1,0,1,17460.49,37000,0,8,18226.16
304214,0,39,0,0,132.733333333333,0,16,0,16,16,15,2,0,0,5,938.3,900,0,0,948.35
304348,1,51,0,1,132.666666666667,0,0,0,0,0,0,6,1,0,1,170.62,26500,0,0,561.72
304464,0,49,0,1,132.6,0,0,10,0,0,10,3,1,0,2,8024.25,8250,6,0,9503.8
304548,1,47,1,0,132.4,0,0,0,0,0,0,6,1,0,1,259.51,31500,0,0,702.75
304592,1,41,1,1,132.466666666667,5,6,5,0,0,0,4,1,0,1,271.88,4250,2,0,1747.85
304643,1,57,1,0,132.466666666667,0,0,5,6,0,0,5,1,0,1,3748.22,3700,5,23,3748.22
305041,0,56,1,1,132.266666666667,0,0,0,1,32,0,3,1,0,4,8743.45,7130,7,0,10132.47
305492,1,40,0,1,131.966666666667,0,0,0,0,0,0,5,1,0,1,218.13,8400,0,10,2197.81
305505,0,42,0,1,131.966666666667,0,0,0,0,0,0,4,1,0,1,15714.41,17350,8,7,15714.41
305848,1,46,1,0,131.733333333333,0,0,15,0,0,0,4,1,0,1,3668.01,16000,0,0,4724.04
305882,1,72,1,1,131.766666666667,0,0,0,0,0,0,3,1,0,1,2429.68,2400,5,7,2429.68
306480,0,46,1,1,131.433333333333,0,0,5,0,6,5,1,1,0,3,3884.55,5500,0,1,3884.55
306509,1,49,0,1,131.433333333333,0,0,0,0,0,0,5,1,0,1,99.68,37900,0,0,1672.9
306743,0,44,1,1,131.4,5,6,36,0,6,36,1,1,2,5,127.85,1500,0,0,444.22
306754,1,51,1,0,131.366666666667,0,0,0,0,0,0,2,1,0,5,1254.94,1300,0,0,1626.02
306799,1,46,0,1,131.3,0,0,0,0,1,0,5,1,0,1,41.1,10800,0,12,878.82
306847,1,52,1,1,131.3,0,0,0,0,1,0,5,1,0,1,2104.06,5100,11,3,4051.13
306890,1,74,1,1,131.3,0,1,0,1,1,0,4,1,0,2,231.46,4400,0,0,391.43
307291,1,37,1,0,131.033333333333,0,0,0,0,0,0,5,1,0,1,664.69,2000,0,3,2465.28
307981,1,41,0,1,130.766666666667,0,0,15,0,0,0,4,1,0,1,862.74,25500,0,0,1819.05
308089,0,32,1,0,130.733333333333,15,46,15,16,47,15,1,1,4,5,806.13,2000,0,0,1414.15
308093,0,38,1,0,130.733333333333,0,0,0,0,16,46,2,1,2,3,3020.57,11650,0,12,3020.57
308425,1,44,1,0,130.3,0,0,0,0,0,0,6,1,0,1,670.95,33400,0,0,2592.74
308485,1,63,0,1,130.233333333333,0,0,0,0,0,0,5,1,0,1,1987.12,19000,0,15,1987.12
308723,1,57,1,0,129.933333333333,0,0,0,21,0,0,2,1,0,3,10172.43,10000,0,0,10374.86
308766,1,38,0,1,129.933333333333,0,0,0,0,0,0,2,1,0,5,804.84,800,0,0,2548.85
309257,1,35,1,0,129.433333333333,0,0,0,0,0,0,5,1,0,1,931.14,10650,0,4,1248.31
309975,1,64,0,1,128.866666666667,0,0,0,0,0,0,5,1,0,1,483.07,12400,0,0,5349.68
310055,1,43,0,1,128.8,0,0,0,0,1,0,5,1,0,1,9069.74,16750,7,15,9906.18
310347,1,46,0,1,128.533333333333,0,0,0,0,0,0,6,1,0,1,405.93,38200,0,0,2851.89
310437,1,40,0,1,128.5,0,0,0,0,0,0,5,1,0,1,7864.84,13250,0,0,10710.03
310517,1,67,1,1,128.433333333333,0,0,0,0,6,0,4,1,0,1,5065.11,23000,0,0,6633.31
310579,0,49,0,1,128.366666666667,36,36,36,6,37,5,1,1,0,5,112.99,600,0,0,628.59
310582,0,49,1,1,128.366666666667,0,0,5,0,0,5,3,1,1,2,580.89,7350,0,0,1920.75
310673,1,55,0,1,128.266666666667,0,1,0,1,1,0,3,1,1,3,2882.09,4950,0,0,2882.09
310840,0,32,0,0,128.133333333333,25,56,0,0,0,25,1,1,0,5,334.52,8000,0,0,2698.9
311006,1,65,0,1,128.033333333333,0,0,0,0,0,0,5,1,0,1,10611.09,17000,0,0,10611.09
311261,1,51,0,1,127.8,15,0,15,16,16,15,2,1,0,5,250.4,1000,0,0,1004.04
311793,1,31,1,0,127.266666666667,0,0,0,0,0,0,6,1,0,1,38.04,2350,2,10,2024.94
311876,0,44,1,0,127.2,0,1,31,1,32,31,2,0,4,4,5409.78,5200,3,1,5550.73
311896,1,45,0,1,127.1,0,26,0,0,0,0,1,1,0,5,2972.95,5000,0,0,4581.91
312288,0,34,1,0,126.866666666667,20,0,0,0,21,51,2,1,0,5,908.79,2550,1,0,1270.59
312415,1,53,0,1,126.733333333333,0,0,0,0,0,0,6,1,0,1,486.4,6400,0,0,1319.72
312608,1,36,1,0,126.633333333333,0,11,10,0,11,0,2,1,0,5,1801.35,5000,0,0,4043.26
312770,1,36,1,0,126.533333333333,0,0,0,0,0,0,5,1,0,1,128.1,35700,0,0,1549.76
312793,1,45,0,1,126.533333333333,0,0,0,0,0,0,5,1,0,1,584.9,23500,0,0,625.76
313207,0,38,0,0,126.266666666667,0,6,0,0,6,36,4,1,0,1,972.71,900,6,0,979.62
313226,0,59,0,1,126.266666666667,0,31,0,1,32,31,2,1,2,5,672.75,1200,7,0,1157
313286,1,55,1,1,126.266666666667,0,0,0,0,0,0,4,1,1,2,402.2,416,11,0,464.81
313323,1,56,1,1,126.133333333333,0,1,0,1,1,0,4,1,0,1,40.25,33700,0,0,291.47
313673,1,46,0,0,125.9,0,0,0,0,0,0,5,1,0,1,18325.79,25450,0,10,22636.38
313776,0,36,0,0,125.833333333333,0,0,0,0,0,0,4,1,4,1,785.67,750,7,9,796.74
313922,0,43,0,0,125.666666666667,15,16,15,16,16,46,1,1,0,5,830.93,900,0,0,959.81
313966,1,60,1,1,125.6,0,0,0,0,0,0,5,1,0,1,846.09,27000,0,0,1867.24
314005,1,43,1,1,125.6,0,0,0,0,0,0,6,1,0,1,4248.16,11500,0,0,5664.13
314274,1,53,0,0,125.466666666667,0,0,0,0,0,0,5,1,0,1,15207.87,30950,0,10,19544.42
314340,1,36,0,0,125.433333333333,0,0,0,0,0,0,5,1,0,1,56.78,18500,0,0,949.77
314665,1,62,0,1,125.133333333333,0,0,0,0,0,0,5,1,0,1,1366.5,8750,0,9,3813.93
315117,1,51,1,1,124.766666666667,0,0,0,0,0,0,6,1,0,1,14634.85,35600,0,0,14634.85
315230,1,59,1,1,124.633333333333,0,0,0,0,0,0,1,1,4,3,1910.04,2600,0,0,2807.84
315324,1,62,1,1,124.533333333333,0,0,0,0,0,0,5,1,0,1,2510.56,36100,0,0,6511.76
315473,0,38,1,0,124.4,5,6,0,0,0,0,2,1,0,3,796.21,1400,1,0,1388
315500,0,43,0,0,124.366666666667,0,6,0,0,0,5,4,1,0,1,7161.65,4700,1,0,7161.65
315510,1,33,1,0,124.366666666667,0,0,0,0,0,0,5,1,0,1,4741.8,10100,0,3,4741.8
315612,0,39,1,0,124.3,15,46,46,46,47,15,1,1,3,5,1066.42,1000,2,0,1142.11
315849,1,45,0,1,124.033333333333,0,0,0,0,0,0,6,1,0,1,4596.57,11450,0,2,11551.39
316093,1,49,0,1,123.733333333333,0,0,0,0,0,0,5,1,0,1,23354.05,26150,0,15,26182.46
316222,0,35,0,0,123.566666666667,15,16,46,16,0,15,1,1,1,5,1069.41,1900,0,0,1614.4
316398,1,61,1,0,123.333333333333,0,0,0,0,0,0,5,1,0,1,88.27,31500,0,0,604.26
316426,1,42,0,1,123.333333333333,0,0,0,0,0,0,5,1,0,1,7122.68,32000,10,25,10311.51
316538,1,55,1,1,123.066666666667,0,0,0,0,1,0,5,1,0,1,10880.46,35600,0,1,15731.24
316763,1,29,0,0,123,0,0,0,0,0,0,4,1,0,2,4232.57,5900,1,1,6135.09
317070,0,74,1,1,122.666666666667,0,0,0,0,0,15,6,1,0,1,648.42,3300,0,0,648.42
317126,0,41,0,1,122.666666666667,0,0,5,6,37,36,2,1,1,4,3398.87,3800,0,4,3784.92
317351,1,51,1,1,122.466666666667,0,0,0,0,0,0,5,1,0,1,1089.37,8700,0,4,5165.04
317413,1,48,0,1,122.4,0,0,0,0,0,0,6,1,0,1,1080.92,17250,0,0,1537.81
317710,1,40,1,0,122.133333333333,0,0,0,0,0,0,4,1,0,1,5774.09,8350,1,6,5774.09
317728,1,54,1,1,122.1,0,0,0,0,0,0,5,1,0,1,10680.84,37200,0,0,12756.4
317799,1,64,1,1,122.033333333333,0,0,0,0,0,0,5,1,0,1,22259.97,39200,0,10,22428.57
317835,1,49,1,0,122,0,0,0,0,0,0,3,1,0,3,6525.43,10000,0,0,6525.43
317983,1,76,1,1,121.8,0,0,0,0,1,0,5,1,0,1,1133.33,1800,0,4,1133.33
318112,1,56,0,1,121.7,0,0,0,0,16,0,4,1,0,2,607.82,9450,0,2,1412.62
318285,1,35,1,0,121.466666666667,0,0,0,0,0,0,6,1,0,1,333.67,15300,0,0,10286.14
318357,1,39,0,0,121.366666666667,0,0,0,0,0,0,5,1,0,1,584.73,15500,1,6,5420.39
318421,1,52,1,1,121.266666666667,0,0,0,0,0,0,5,1,0,1,1953.1,28250,0,0,2182.5
318486,1,41,1,0,121.2,0,1,0,1,1,0,5,1,0,1,1033.47,3600,0,0,2145.57
318513,1,31,0,0,121.166666666667,0,0,0,0,0,0,5,1,5,1,1060.2,1100,7,0,1196.38
318784,0,62,0,1,120.766666666667,0,0,0,0,0,0,4,1,2,1,20703.11,19850,6,14,21102.42
318883,0,37,0,1,120.666666666667,15,16,15,16,0,0,2,1,0,5,2430.25,2400,1,0,2471.9
319268,1,34,0,0,120.3,0,0,0,0,0,5,5,1,0,1,24481.58,36560,0,0,30310.05
319396,1,51,0,1,120.133333333333,0,0,0,0,0,0,4,1,0,2,699.87,2400,0,0,1881.39
319881,1,38,1,1,119.666666666667,0,0,0,1,0,0,5,1,0,1,5120.72,11650,0,0,8662.85
319894,1,38,1,1,119.666666666667,0,0,0,0,0,0,5,1,0,1,249.76,24750,0,0,418.27
319914,1,77,0,1,119.666666666667,0,0,0,0,0,0,4,1,0,1,510.96,7500,0,1,641.18
320015,1,47,0,1,119.533333333333,0,16,46,0,0,0,1,1,0,5,857.04,5100,0,0,1862.32
320101,1,44,1,0,119.466666666667,0,0,0,0,0,0,6,1,0,1,223.08,14500,0,0,703.64
320127,1,67,0,1,119.466666666667,0,0,0,0,0,0,5,1,0,1,1535.73,31500,0,0,13364.92
320247,0,39,1,0,119.333333333333,5,6,36,0,0,5,2,0,1,4,1373.46,1440,8,2,1534.36
320319,0,34,1,1,119.3,0,0,0,0,0,0,4,1,0,1,4238.24,5800,2,0,4238.24
320455,1,52,0,1,119.2,5,6,36,6,0,0,1,1,0,5,180.23,23150,0,0,1261.06
320571,0,37,1,1,119.133333333333,0,0,0,31,62,0,1,1,0,5,213.83,1450,0,0,1448.45
320596,1,36,1,0,119.066666666667,0,1,0,1,1,0,4,1,0,2,4241.3,6250,0,0,4241.3
320628,1,37,1,0,119.066666666667,0,1,0,1,1,0,3,1,0,2,4812.96,17400,0,2,7648.33
320776,0,49,0,1,118.966666666667,25,26,56,0,0,0,1,1,1,5,8497.1,9900,0,0,10213.35
320808,1,62,1,1,118.966666666667,0,0,0,0,0,0,4,1,0,1,1519.25,1840,0,0,1956.11
320925,0,59,1,0,118.833333333333,0,0,0,0,0,25,1,1,3,5,2304.19,2100,2,0,2304.19
320944,0,35,0,1,118.833333333333,0,26,0,0,0,0,2,1,0,4,1616.13,1600,1,0,1711.17
321464,1,65,1,0,118.033333333333,0,1,0,1,0,0,5,1,0,1,40.24,6500,0,1,253.81
321553,0,43,1,0,117.8,0,0,0,0,0,0,4,1,3,1,16975.42,17600,4,10,17976.03
321598,0,37,1,0,117.566666666667,0,21,20,51,52,20,1,1,3,5,4465.47,4950,0,0,5433.8
321680,1,34,0,0,117.633333333333,0,0,0,0,0,15,4,1,0,1,1124.06,1400,0,0,1379.39
321782,0,58,0,1,117.466666666667,0,16,46,0,0,0,1,1,1,4,1513.54,18300,0,2,5259.73
321832,1,37,0,1,117.366666666667,10,0,0,0,0,0,3,1,0,3,251.54,2340,0,0,806.04
321930,1,44,1,1,117.266666666667,0,0,0,0,0,0,5,1,0,1,398.27,17000,0,0,1416.1
322223,1,69,0,1,116.833333333333,0,1,0,0,0,0,5,1,0,1,4073.23,7850,0,39,7730.9
322418,1,55,0,1,116.733333333333,0,0,0,0,0,0,6,1,0,1,1452.33,5500,0,1,4500.22
322616,1,55,0,1,116.533333333333,15,16,15,0,0,15,2,1,1,5,2448.85,2900,0,0,2448.85
322691,1,49,0,1,116.533333333333,0,0,0,0,0,0,5,1,0,1,2636.01,39200,0,0,2636.01
322711,1,34,1,1,116.6,0,16,0,16,0,15,3,1,2,4,1658.38,2000,0,0,2153.74
322771,1,45,0,1,116.566666666667,0,0,25,0,0,0,3,1,5,2,732.73,800,0,0,888.39
322838,0,42,1,1,116.533333333333,0,16,0,0,0,15,3,1,1,4,1040.09,960,0,0,1040.09
322899,1,38,0,0,116.433333333333,0,0,10,11,42,41,2,1,4,5,510.43,1500,1,0,911.79
